link,text,date,No_of_Likes,No_of_Retweets
https://twitter.com/BBC/status/1824446023085048137#m,How well do the #AGGGTM gang know Asha Banks?  The cast of A Good Girl's Guide to Murder put their knowledge of Asha Banks to the test.  #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries #AshaBanks,"Aug 16, 2024 · 2:00 PM UTC",91,21
https://twitter.com/BBC/status/1824371269246259570#m,Why am I blushing? 🤭  Pip (Emma Myers) and Ravi (Zain Iqbal) share a kiss.  #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries #PipRaviNation #PipRavi,"Aug 16, 2024 · 9:03 AM UTC",175,35
https://twitter.com/BBC/status/1824015676291375428#m,YES PIP 👏   Pip (Emma Myers) confronts Max (Henry Ashton). #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries,"Aug 15, 2024 · 9:30 AM UTC",170,39
https://twitter.com/bbcpress/status/1823634430147080587#m,"📢 BBC and ITV confirm deal for UEFA Women’s Euro 2025!  Half of the matches will be shown across BBC TV and @BBCiPlayer, with highlights and clips also shown on the @BBCSport website, app and social media platforms  Details ➡️ bbc.co.uk/mediacentre/2024/b…","Aug 14, 2024 · 8:15 AM UTC",157,44
https://twitter.com/bbcpress/status/1823070951044739247#m,🪩 And here they are... your #Strictly stars!  The Class of 2024 are ready to take to the ballroom floor when Strictly Come Dancing returns  More ➡️ https://bbc.in/3SLqtT6,"Aug 12, 2024 · 6:56 PM UTC",841,108
https://twitter.com/bbcpress/status/1823064211846766745#m,"🪩 Can this #Olympics champion master the Quekstep? Sam Quek MBE is the fifteenth and final celebrity confirmed for #Strictly 2024!  ""It feels absolutely surreal but I’m ready for every bit of the adventure""  Read more ➡️ https://bbc.in/46IKEH3","Aug 12, 2024 · 6:29 PM UTC",412,54
https://twitter.com/bbcpress/status/1823062942625255925#m,"🪩 Adding some new fancy footwork to his arsenal of skills, Paul Merson is the fourteenth celebrity contestant confirmed for #Strictly 2024  ""Joining Strictly is a whole new ball game for me, but I’m going to tackle this challenge head on.""  Read more ➡️ https://bbc.in/4ctFTSV","Aug 12, 2024 · 6:24 PM UTC",325,65
https://twitter.com/bbcpress/status/1823058416266621300#m,"🪩 From DIY SOS to the #Strictly ballroom - Nick Knowles is the thirteenth celebrity contestant confirmed for 2024  ""There’s life in the old dog yet to take on one more big one – being taught how to dance!""  Read more ➡️ https://bbc.in/3WXWlq6","Aug 12, 2024 · 6:06 PM UTC",447,60
https://twitter.com/BBC/status/1823026668379754641#m,When Pip met Ravi 🥹  #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries #BooktoScreen,"Aug 12, 2024 · 4:00 PM UTC",385,116
https://twitter.com/bbcpress/status/1819318151210832065#m,"“A masterclass in storytelling”  The reviews are in for Hell Jumper, an unforgettable immersive story of courage, passion and loss among idealistic young people risking their lives in the middle of a war zone, without military support.  Watch now ▶️ https://bbc.in/46A9wkf","Aug 2, 2024 · 10:23 AM UTC",55,17
https://twitter.com/bbcpress/status/1820850253043486742#m,"“A timely reminder of the real human cost of war”  Atomic People on @BBCiPlayer. Nearly 80 years since the atomic bombs were dropped on Hiroshima and Nagasaki, this unique film gathers testimonies from some of the last survivors before their voices are lost forever.  Watch now ▶️ bbc.co.uk/iplayer/episode/m0…","Aug 6, 2024 · 3:51 PM UTC",57,23
https://twitter.com/BBC/status/1822958712983580953#m,We all need a Leanne in our lives 🥰   Leanne (Anna Maxwell Martin) gives Pip (Emma Myers) a pep talk.  #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries,"Aug 12, 2024 · 11:30 AM UTC",180,38
https://twitter.com/bbcpress/status/1821910819250069799#m,"🪩 Gladiator, ready? Montell Douglas is the twelfth celebrity contestant taking to the floor for #Strictly 2024  ""Strictly ARE YOU READY? Fire is here to light up the Ballroom""  Read more ➡️ https://bbc.in/3WHHZbY","Aug 9, 2024 · 2:06 PM UTC",311,58
https://twitter.com/bbcpress/status/1821898157527065035#m,🎬 Filming's officially underway on Beyond Paradise series three!  And we've been finding out all about the mysteries that will keep Humphrey and co. on their toes when we return to Shipton Abbott...  Read more ➡️ https://bbc.in/3WF3fzp,"Aug 9, 2024 · 1:15 PM UTC",212,35
https://twitter.com/BBC/status/1821886669890449759#m,Details of support for some of the issues raised in this video are available at the BBC Action Line: https://www.bbc.co.uk/actionline/,"Aug 9, 2024 · 12:30 PM UTC",4,1
