link,text,date,No_of_Likes,No_of_Retweets
https://twitter.com/CNN/status/1824800929700294813#m,Blaze erupts at London's historic Somerset House with around 100 firefighters and 15 fire engines deployed to the scene https://cnn.it/4cAJsXv,"Aug 17, 2024 · 1:30 PM UTC",143,37
https://twitter.com/CNN/status/1824552583052046498#m,"A federal judge has temporarily blocked the launch of Venu Sports, the forthcoming joint sports streaming venture from Warner Bros. Discovery, Disney and Fox Corporation https://cnn.it/4doCFS1","Aug 16, 2024 · 9:03 PM UTC",140,31
https://twitter.com/CNN/status/1824549607411458128#m,"The US is seeing its largest summer Covid-19 wave in at least two years, wastewater data shows, and it's hitting earlier than last year https://cnn.it/3AlmuGv","Aug 16, 2024 · 8:51 PM UTC",525,287
https://twitter.com/CNN/status/1824531706138742904#m,"Susan Lorincz, the White woman who fatally shot a Black neighbor during a dispute over kids playing near her home, has been found guilty of manslaughter https://cnn.it/3SV58qC","Aug 16, 2024 · 7:40 PM UTC",990,174
https://twitter.com/CNN/status/1824245326863106352#m,"Four men have been arrested in connection with the fatal shooting of former ""General Hospital"" actor Johnny Wactor, Los Angeles police say https://cnn.it/3M4Xl5L","Aug 16, 2024 · 12:42 AM UTC",350,79
https://twitter.com/CNN/status/1824149842882375699#m,"Five people, including doctors and Matthew Perry's assistant, have been charged in the actor's overdose death and ""knew what they were doing was wrong,"" a prosecutor says. https://cnn.it/3WOqHKt","Aug 15, 2024 · 6:23 PM UTC",413,110
https://twitter.com/CNN/status/1824108591399194760#m,"Multiple arrests have been made in connection with Matthew Perry’s death, according to a law enforcement source familiar with the situation https://cnn.it/46KP2pb","Aug 15, 2024 · 3:39 PM UTC",307,62
https://twitter.com/CNN/status/1824102572015095982#m,Trump's attorneys ask the judge in the New York hush money case to postpone his September 18 sentencing until after the November election https://cnn.it/3SReMdT,"Aug 15, 2024 · 3:15 PM UTC",344,85
https://twitter.com/CNN/status/1824094155452109297#m,Ohio Sen. JD Vance and Minnesota Gov. Tim Walz agree to participate in a vice presidential debate on October 1 https://cnn.it/46LKBug,"Aug 15, 2024 · 2:41 PM UTC",555,85
https://twitter.com/CNN/status/1824088055298297928#m,"Ukrainian President Zelensky claims Ukraine’s troops have captured Russian town of Sudzha, over a week after forces launched a surprise offensive in Russia’s Kursk region https://cnn.it/46PqxqS","Aug 15, 2024 · 2:17 PM UTC",504,88
https://twitter.com/CNN/status/1824068422008725554#m,"Retail spending unexpectedly surged in July, showing the backbone of the US economy remains solid despite still-high inflation https://cnn.it/3SS4ZnD","Aug 15, 2024 · 12:59 PM UTC",288,80
https://twitter.com/CNN/status/1824028068047982930#m,Russian-American woman given 12-year jail sentence for treason by a Russian court after she donated just over $50 to a charity supporting Ukraine https://cnn.it/4dL9FDM,"Aug 15, 2024 · 10:19 AM UTC",438,168
https://twitter.com/CNN/status/1824027635791356370#m,"More than 40,000 Palestinians have been killed in Gaza since Israel launched its war against Hamas, health ministry says https://cnn.it/3WEUsNC","Aug 15, 2024 · 10:17 AM UTC",449,139
https://twitter.com/CNN/status/1823899066251542639#m,"Gena Rowlands, acclaimed actress who starred in ""The Notebook"" and ""A Woman Under the Influence,"" has died. She was 94. https://cnn.it/4dGGL7L","Aug 15, 2024 · 1:46 AM UTC",427,86
https://twitter.com/CNN/status/1823880885713670323#m,Columbia University President Minouche Shafik steps down months after protests over the Israel-Hamas war gripped campus.  https://cnn.it/4drix1U,"Aug 15, 2024 · 12:34 AM UTC",247,57
https://twitter.com/CNN/status/1823816036782686232#m,JUST IN: Google says an alleged Iranian hacking operation aimed at US presidential campaigns is ongoing and more wide-ranging than previously known https://cnn.it/4cu0TZX,"Aug 14, 2024 · 8:16 PM UTC",580,280
https://twitter.com/CNN/status/1823799268353712166#m,Disney wants a wrongful death suit tossed due to terms a widower had agreed to in his free Disney+ trial. His lawyer called it preposterous. https://cnn.it/4dq7eqK,"Aug 14, 2024 · 7:10 PM UTC",252,62
https://twitter.com/CNN/status/1823780219120988554#m,The World Health Organization has declared the ongoing mpox outbreak in Africa a global health emergency https://cnn.it/46PqStO,"Aug 14, 2024 · 5:54 PM UTC",360,139
https://twitter.com/CNN/status/1823744478500319325#m,Ernesto strengthens into a hurricane as it lashes the Virgin Islands and Puerto Rico. Nearly half of all customers in Puerto Rico are without power. https://cnn.it/3SPflVp,"Aug 14, 2024 · 3:32 PM UTC",147,45
https://twitter.com/CNN/status/1823716984216785362#m,"The Consumer Price Index slowed more than expected in July, falling below 3% for the first time in over three years https://cnn.it/3WF9T8G","Aug 14, 2024 · 1:43 PM UTC",336,105
https://twitter.com/CNN/status/1823642067370656217#m,Thailand Prime Minister Srettha Thavisin has been removed from office after a court ruled he violated the constitution https://cnn.it/3ytwP2P,"Aug 14, 2024 · 8:45 AM UTC",289,102
https://twitter.com/CNN/status/1823554454068527513#m,"Minnesota Rep. Ilhan Omar will beat back a primary challenge, CNN projects, ending a ""squad"" losing streak and giving progressives a win. https://cnn.it/3YFcEtn","Aug 14, 2024 · 2:57 AM UTC",678,85
https://twitter.com/CNN/status/1823531850746273813#m,"Eric Hovde will win Wisconsin's Republican Senate primary, CNN projects, to take on Democrat Tammy Baldwin in a race seen as critical to deciding Senate control. https://cnn.it/3YDTJz3","Aug 14, 2024 · 1:27 AM UTC",205,58
https://twitter.com/CNN/status/1823338264813613422#m,Starbucks CEO Laxman Narasimhan is stepping down immediately after just a year in the role. He will be replaced by Chipotle CEO Brian Niccol. https://cnn.it/3yD5wTC,"Aug 13, 2024 · 12:38 PM UTC",248,82
